HTTP_Receiver,HTTP_Method,HTTP_Request_Name,HTTP_Request_Uri,HTTP_Response_Status_Code,HTTP_Response_Status_Text,HTTP_Response_Body
SAP CI,GET,Get all integration packages,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com/api/v1/IntegrationPackages?$format=json",200,OK,,
SAP CI,GET,Get an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage01')/IntegrationDesigntimeArtifacts",200,OK,,
SAP CI,GET,Get an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage02')/IntegrationDesigntimeArtifacts",200,OK,,
SAP CI,GET,Get an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage03')/IntegrationDesigntimeArtifacts",200,OK,,
SAP CI,GET,Get a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage01')/ValueMappingDesigntimeArtifacts",200,OK,,
SAP CI,GET,Get a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage02')/ValueMappingDesigntimeArtifacts",200,OK,,
SAP CI,GET,Get a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage03')/ValueMappingDesigntimeArtifacts",200,OK,,
SAP CI,GET,Download an integration package,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage01')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationPackages/Zip/TestPackage01.zip",201,Created,,
SAP CI,GET,Download an integration package,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage02')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationPackages/Zip/TestPackage02.zip",201,Created,,
SAP CI,GET,Download an integration package,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationPackages('TestPackage03')/$value",500,Internal Server Error,"Package export failed. It contains the following artifacts are in draft state: [ {Type=IFlow, Name=Delete File} ]"
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='Get_file_in_Github',Version='1.0.1')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/Get_file_in_Github.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='Create_file_in_Github',Version='1.0.1')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/Create_file_in_Github.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='SF_EC_Job_Information_Delta_Load',Version='1.0.1')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/SF_EC_Job_Information_Delta_Load.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='Test_CE_API',Version='1.0.6')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/Test_CE_API.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='TEST_01',Version='1.0.8')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/TEST_01.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='SF_EC_to_Benefitfocus',Version='1.3.4')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/SF_EC_to_Benefitfocus.zip",201,Created,,
SAP CI,GET,Download an integration flow,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/IntegrationDesigntimeArtifacts(Id='Employee_Integration_from_SAP_SuccessFactors_to_SAP_Concur',Version='1.0.0')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/IntegrationFlows/Zip/Employee_Integration_from_SAP_SuccessFactors_to_SAP_Concur.zip",201,Created,,
SAP CI,GET,Download a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/ValueMappingDesigntimeArtifacts(Id='Country_Code_Conversion',Version='1.0.1')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/ValueMappings/Zip/Country_Code_Conversion.zip",201,Created,,
SAP CI,GET,Download a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/ValueMappingDesigntimeArtifacts(Id='Employee_Status_-_Value_Mapping',Version='1.0.2')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/ValueMappings/Zip/Employee_Status_-_Value_Mapping.zip",201,Created,,
SAP CI,GET,Download a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/ValueMappingDesigntimeArtifacts(Id='Name_Suffix',Version='1.0.1')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/ValueMappings/Zip/Name_Suffix.zip",201,Created,,
SAP CI,GET,Download a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/ValueMappingDesigntimeArtifacts(Id='Pay_Frequency',Version='1.0.2')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/ValueMappings/Zip/Pay_Frequency.zip",201,Created,,
SAP CI,GET,Download a specific value mapping,"https://1b6936actrial.it-cpitrial06.cfapps.us10-001.hana.ondemand.com:443/api/v1/ValueMappingDesigntimeArtifacts(Id='Phone_Country_Code_Conversion',Version='1.0.2')/$value",200,OK,,
GitHub,PUT,Create file contents in GitHub,"https://api.github.com/repos/nesun3/sap-cloud-integration-artifacts/contents/ValueMappings/Zip/Phone_Country_Code_Conversion.zip",201,Created,,
